epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,286.346,0.49933,0.35573,0.94817,0.95905,0.99777,0.98029,0.83793,0.61392,0.38287,1.02944,0.00082539,0.00082539,0.00082539
66,290.761,0.4897,0.34986,0.94766,0.96586,0.95998,0.98176,0.87061,0.55295,0.34513,0.99753,0.000815959,0.000815959,0.000815959
67,295.463,0.48393,0.34726,0.94578,0.96339,0.96926,0.99153,0.86306,0.6128,0.35579,1.03177,0.000806528,0.000806528,0.000806528
68,300.162,0.46487,0.34031,0.9255,0.98013,0.95185,0.98868,0.85537,0.58268,0.34251,1.02738,0.000797096,0.000797096,0.000797096
69,304.53,0.43381,0.32107,0.91841,0.98467,0.9541,0.98767,0.8516,0.59807,0.3433,1.03788,0.000787665,0.000787665,0.000787665
70,308.997,0.47905,0.33515,0.93415,0.99127,0.96939,0.99184,0.86386,0.56345,0.3777,1.02657,0.000778233,0.000778233,0.000778233
71,313.397,0.50928,0.3592,0.94622,0.99327,0.96703,0.99278,0.87221,0.54987,0.35942,1.01619,0.000768802,0.000768802,0.000768802
72,317.75,0.49181,0.36148,0.97711,0.99458,0.9522,0.99184,0.86592,0.54211,0.33224,1.0041,0.000759371,0.000759371,0.000759371
73,322.15,0.45722,0.33926,0.9525,0.99559,0.95065,0.991,0.86524,0.57061,0.34647,1.01507,0.000749939,0.000749939,0.000749939
74,326.54,0.45988,0.32025,0.94745,0.99215,0.96341,0.99024,0.86324,0.60714,0.36094,1.03143,0.000740508,0.000740508,0.000740508
75,331.012,0.44327,0.32823,0.94322,0.99208,0.96329,0.98963,0.85794,0.61947,0.39081,1.02126,0.000731076,0.000731076,0.000731076
76,335.477,0.46763,0.34465,0.94017,0.97457,0.96329,0.97989,0.84242,0.67037,0.42677,1.06019,0.000721645,0.000721645,0.000721645
77,339.995,0.4531,0.33455,0.93803,0.97429,0.96329,0.98076,0.84502,0.63946,0.40577,1.05432,0.000712214,0.000712214,0.000712214
78,344.366,0.427,0.32561,0.94996,0.99306,0.96329,0.97934,0.85811,0.59699,0.37493,1.03439,0.000702782,0.000702782,0.000702782
79,348.725,0.44399,0.33317,0.94717,0.99028,0.96329,0.97724,0.85069,0.63237,0.3695,1.05778,0.000693351,0.000693351,0.000693351
80,353.196,0.43685,0.32687,0.96742,0.98324,0.96329,0.97582,0.84894,0.61373,0.37435,1.06136,0.000683919,0.000683919,0.000683919
81,357.505,0.44291,0.33549,0.92575,0.97908,0.9654,0.97859,0.85161,0.61392,0.37628,1.06852,0.000674488,0.000674488,0.000674488
82,361.861,0.46334,0.3487,0.97953,0.97037,0.97814,0.98818,0.84871,0.58008,0.36537,1.0325,0.000665057,0.000665057,0.000665057
83,366.274,0.44742,0.32485,0.92762,0.96039,0.96957,0.99024,0.86054,0.58252,0.35805,1.02721,0.000655625,0.000655625,0.000655625
84,370.656,0.48331,0.34721,0.97838,0.99031,0.96489,0.991,0.83797,0.59747,0.36228,1.05337,0.000646194,0.000646194,0.000646194
85,375.049,0.459,0.33689,0.96555,0.99408,0.96569,0.991,0.84455,0.61928,0.35969,1.07694,0.000636762,0.000636762,0.000636762
86,379.47,0.44742,0.34741,0.91899,0.9925,0.97001,0.98955,0.83537,0.60863,0.34875,1.06796,0.000627331,0.000627331,0.000627331
87,384,0.45269,0.33114,0.94251,0.98569,0.97578,0.98891,0.83789,0.63733,0.35868,1.07401,0.0006179,0.0006179,0.0006179
